Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
11,2,50-200,WA,17.71,0,FALSE
11,2,50-200,50,20.59,0,FALSE
11,2,50-200,200,20.19,0.89,FALSE
11,3,50-200,WA,18,0,FALSE
11,3,50-200,50,20.12,0,FALSE
11,3,50-200,200,20.26,0,FALSE
11,4,50-200,WA,17.85,0,FALSE
11,4,50-200,50,18.29,0,FALSE
11,4,50-200,200,21.29,1.25,FALSE
11,5,50-200,WA,17.19,0,FALSE
11,5,50-200,50,19.71,0,FALSE
11,5,50-200,200,20.96,0,FALSE
15,1,75-150,WA,19.36,5.47,FALSE
15,1,75-150,75,22.05,3.81,FALSE
15,1,75-150,150,18.51,6.54,FALSE
15,2,75-150,WA,20.12,5.96,FALSE
15,2,75-150,75,20.59,7.11,FALSE
15,2,75-150,150,20.19,6.23,FALSE
15,3,75-150,WA,18.01,6.99,FALSE
15,3,75-150,75,23.12,5.16,FALSE
15,3,75-150,150,21.63,11.08,FALSE
15,4,75-150,WA,19.37,4.51,FALSE
15,4,75-150,75,21.52,7.33,FALSE
15,4,75-150,150,22.38,6.69,FALSE
15,5,75-150,WA,18.96,6.46,FALSE
15,5,75-150,75,21.87,7.47,FALSE
15,5,75-150,150,20.51,9.96,FALSE
15,4,50-75,WA,20.99,2.2,FALSE
15,4,50-75,50,20.75,6.06,FALSE
15,4,50-75,75,19.73,8.7,FALSE
15,3,50-75,WA,20.88,2.49,FALSE
15,3,50-75,50,20.55,4.49,FALSE
15,3,50-75,75,19.51,5.37,FALSE
15,1,50-75,WA,19.26,2.4,FALSE
15,1,50-75,50,21.21,1.9,FALSE
15,1,50-75,75,20.09,5.7,FALSE
15,2,50-75,WA,18.31,2.78,FALSE
15,2,50-75,50,21.3,3.02,FALSE
15,2,50-75,75,22.35,5.63,FALSE
15,5,50-75,WA,20.22,3.16,FALSE
15,5,50-75,50,21.64,4.81,FALSE
15,5,50-75,75,20.72,2.8,FALSE
15,1,50-150,WA,19.49,2.35,FALSE
15,1,50-150,50,22.09,2.3,FALSE
15,1,50-150,150,20.93,7.25,FALSE
15,2,50-150,WA,20.12,0,FALSE
15,2,50-150,50,20.93,6.31,FALSE
15,2,50-150,150,21.94,7.31,FALSE
15,3,50-150,WA,19.59,4.98,FALSE
15,3,50-150,50,21.22,6.98,FALSE
15,3,50-150,150,22.45,8.06,FALSE
15,4,50-150,WA,18.68,0,TRUE
15,4,50-150,50,21.69,12.83,TRUE
15,4,50-150,150,21.34,9.94,TRUE
15,5,50-150,WA,19.06,3.35,FALSE
15,5,50-150,50,21.58,2.84,FALSE
15,5,50-150,150,21.13,7.32,FALSE
15,1,50-100,WA,20.22,2.01,FALSE
15,1,50-100,50,20.87,5.56,FALSE
15,1,50-100,100,18.67,9.84,FALSE
15,2,50-100,WA,19.32,2.69,FALSE
15,2,50-100,50,21.37,4.84,FALSE
15,2,50-100,100,20.42,7.56,FALSE
15,3,50-100,WA,19.57,0,FALSE
15,3,50-100,50,21.6,1.38,FALSE
15,3,50-100,100,20.13,5.96,FALSE
15,5,50-100,WA,20.02,2.78,FALSE
15,5,50-100,50,20.66,6.03,FALSE
15,5,50-100,100,20.6,4.75,FALSE
15,4,50-100,WA,19.86,3.45,FALSE
15,4,50-100,50,20.86,3.87,FALSE
15,4,50-100,100,21.09,5.75,FALSE
15,1,25-75,WA,19.65,3.16,FALSE
15,1,25-75,25,20.42,3.45,FALSE
15,1,25-75,75,20.19,8.27,FALSE
15,2,25-75,WA,19.35,3.55,FALSE
15,2,25-75,25,24.22,2.13,FALSE
15,2,25-75,75,21.71,3.73,FALSE
15,3,25-75,WA,20.4,0.96,FALSE
15,3,25-75,25,23.43,0,FALSE
15,3,25-75,75,21.3,2.07,FALSE
15,4,25-75,WA,18.96,3.45,FALSE
15,4,25-75,25,22.22,2.58,FALSE
15,4,25-75,75,21.49,2.98,FALSE
15,5,25-75,WA,19.87,3.75,FALSE
15,5,25-75,25,20.12,2.34,FALSE
15,5,25-75,75,19.64,5.12,FALSE
15,1,25-50,WA,19.73,2.78,FALSE
15,1,25-50,25,21.15,1.78,FALSE
15,1,25-50,50,19.25,5.22,FALSE
15,2,25-50,WA,19.41,6.54,FALSE
15,2,25-50,25,22.29,5.36,FALSE
15,2,25-50,50,21.03,6.39,FALSE
15,3,25-50,WA,19.97,2.78,FALSE
15,3,25-50,25,21.46,0,FALSE
15,3,25-50,50,21.55,1.29,FALSE
15,4,25-50,WA,18.89,6.37,FALSE
15,4,25-50,25,21.82,3.74,FALSE
15,4,25-50,50,22.11,3.8,FALSE
15,5,25-50,WA,18.96,3.64,FALSE
15,5,25-50,25,22.5,1.42,FALSE
15,5,25-50,50,20.82,3.74,FALSE
15,1,100-200,WA,20.51,4.69,FALSE
15,1,100-200,100,21.06,8.3,FALSE
15,1,100-200,200,19.81,11.86,FALSE
15,2,100-200,WA,19.97,4.6,FALSE
15,2,100-200,100,20.74,8.8,FALSE
15,2,100-200,200,19.48,14.07,FALSE
15,3,100-200,WA,19.29,4.82,FALSE
15,3,100-200,100,21.52,13.3,FALSE
15,3,100-200,200,18.97,14.18,FALSE
15,5,100-200,WA,19.17,6.81,FALSE
15,5,100-200,100,21.42,7.82,FALSE
15,5,100-200,200,21.28,9.62,FALSE
15,1,100-150,WA,19.35,4.5,FALSE
15,1,100-150,100,22.13,3.87,FALSE
15,1,100-150,150,20.81,7.81,FALSE
15,2,100-150,WA,18.97,6.33,FALSE
15,2,100-150,100,22.96,4.79,FALSE
15,2,100-150,150,21.61,10.52,FALSE
15,3,100-150,WA,19.73,3.26,FALSE
15,3,100-150,100,22.51,6.36,FALSE
15,3,100-150,150,21.67,4.83,FALSE
15,4,100-150,WA,20.43,5.76,FALSE
15,4,100-150,100,20.57,7.72,FALSE
15,4,100-150,150,20.12,9.45,FALSE
